GR,DTCO,RES,RHOB
51.66928,201.938,1.315133,1.794704
52.94104,201.4114,1.310291,1.788818
54.39166,199.942,1.30247,1.786788
56.49166,198.9447,1.300586,1.770854
55.97292,198.6489,1.308165,1.787175
58.04999,197.9482,1.30831,1.786584
58.86542,198.1121,1.314693,1.81262
62.3834,199.4804,1.326342,1.819332
61.5584,199.6755,1.274817,1.858518
64.04299,198.9311,1.325112,1.867679
62.475,198.9994,1.323128,1.885575
64.125,199.8648,1.282841,1.868964
65.4714,200.5314,1.313909,1.881581
65.09017,200.8557,1.34232,1.877929
63.74017,200.9211,1.313263,1.880161
64.04377,200.7631,1.27592,1.886396
66.6,200.5638,1.271591,1.900728
70.12121,200.436,1.304723,1.909884
64.41581,200.284,1.3584,1.896364
62.01581,200.1166,1.222615,1.886317
61.04119,200.1491,1.124576,1.864916
62.99658,200.2046,1.142286,1.86197
65.53999,200.3377,1.100587,1.848242
61.8684,200.4191,1.21139,1.860618
63.81172,200.1939,1.249502,1.869765
60.36229,200.2116,1.099786,1.861871
60.43408,200.4957,1.140398,1.882499
63.29075,200.832,1.115023,1.8846
66.29679,201.0546,1.232759,1.90086
69.07153,200.5526,1.253728,1.893752
66.22153,199.821,1.261971,1.898715
62.77153,198.7189,1.165003,1.91652
63.3,197.6922,1.275165,1.926513
63.15,196.614,1.305382,1.941022
67.49329,195.576,1.312713,1.937614
67.04328,195.3494,1.265865,1.922621
68.23666,195.336,1.278567,1.927236
67.48684,195.4415,1.260468,1.937676
69.0583,195.6324,1.231216,1.941871
70.11493,195.5645,1.296528,1.920596
74.17146,195.5771,1.30746,1.903306
75.89276,195.5755,1.318776,1.919892
76.78564,195.283,1.321305,1.928176
71.91064,195.0089,1.277048,1.920019
67.86164,194.8467,1.255439,1.906569
66.06878,194.9382,1.272446,1.89891
67.04074,195.0006,1.25733,1.903167
65.24696,194.9849,1.27494,1.904551
65.2403,195.1162,1.236033,1.904287
66.73639,195.2536,1.249177,1.913484
69.43639,195.1738,1.29523,1.904807
69.59306,195.016,1.308468,1.917438
66.24769,194.8619,1.303903,1.922529
64.74769,194.8315,1.294743,1.926749
61.89138,194.6532,1.310635,1.919087
63.29369,194.4018,1.307892,1.916997
65.9187,194.2419,1.320991,1.910609
68.1,194.1031,1.353891,1.920617
69.15,194.115,1.369423,1.924767
70.71787,194.1017,1.340983,1.936426
71.39288,193.8827,1.302372,1.929843
72.44287,193.7242,1.341183,1.928423
70.05,193.528,1.334446,1.925409
69.975,193.3355,1.378664,1.924469
72.52499,193.2958,1.379798,1.92235
70.56896,193.2296,1.361812,1.918649
70.04396,193.3247,1.354904,1.91566
67.04395,193.312,1.325475,1.917243
70.27142,193.2027,1.303438,1.920503
70.27142,193.1513,1.286647,1.926519
70.26456,193.1631,1.338599,1.92297
70.03635,193.1915,1.336288,1.91724
69.13635,193.2743,1.331734,1.910757
69.36481,193.3994,1.367229,1.910112
65.61575,193.455,1.449458,1.916064
68.68365,193.3844,1.489891,1.920755
68.01203,192.9415,1.486284,1.929178
71.31789,192.377,1.433797,1.939574
68.55,192.073,1.408796,1.954907
66.6,192.0946,1.351298,1.95303
66.29779,192.3348,1.303872,1.939263
69.52279,192.7678,1.348324,1.920934
72.36581,193.0972,1.329583,1.918237
71.91489,193.3894,1.337085,1.916368
69.4887,193.7926,1.337023,1.898911
68.88856,194.0843,1.32908,1.884504
70.99169,194.293,1.325535,1.872995
71.69287,194.3696,1.387283,1.874339
71.84284,194.2372,1.416947,1.877539
71.01073,193.9874,1.358828,1.887086
69.21073,193.63,1.322708,1.908738
70.79288,193.3807,1.326141,1.915738
74.02499,193.4227,1.360368,1.923135
73.11858,193.607,1.395292,1.920524
69.51192,193.6407,1.331733,1.916141
65.61193,193.6309,1.397249,1.917441
66.66834,193.6639,1.348006,1.923959
70.94999,193.6448,1.310385,1.937039
72.81759,193.8232,1.33653,1.930777
69.51174,194.0257,1.331292,1.922935
68.08674,194.1782,1.307168,1.913678
65.76915,194.218,1.274351,1.921313
70.05,194.3216,1.268438,1.906623
68.175,194.2916,1.288726,1.910133
69.975,194.1795,1.310886,1.909334
72.2928,194.1897,1.315202,1.927515
72.66779,194.0863,1.309931,1.934161
75.51779,193.9901,1.303414,1.93354
71.175,194.1019,1.34307,1.938905
71.24999,194.0314,1.329858,1.937743
68.99627,194.0048,1.283922,1.94025
71.99627,194.1236,1.2705,1.933133
71.09626,194.1163,1.307751,1.931617
70.8,194.0253,1.302546,1.930851
66.37198,193.942,1.308351,1.929726
65.61538,193.9154,1.279358,1.925261
63.28657,193.979,1.342969,1.91815
69.65694,193.9109,1.360554,1.939787
69.73193,193.6778,1.372184,1.948969
69.13573,193.5602,1.376605,1.964875
63.89338,193.5854,1.39729,1.949003
62.85,193.7546,1.372594,1.941999
63.675,194.0093,1.384119,1.935241
65.46821,194.2154,1.375003,1.957707
68.98962,194.2851,1.341225,1.95454
70.86111,194.2135,1.305928,1.958004
73.56045,194.2406,1.322428,1.938446
69.66403,194.5761,1.319936,1.943926
67.56414,194.8209,1.345075,1.940698
65.76489,195.0747,1.31097,1.932946
69.43989,195.6008,1.30818,1.925636
70.41828,196.2471,1.249742,1.919642
68.85,196.6232,1.241617,1.917276
66.81863,197.0327,1.258925,1.921751
64.41863,197.3587,1.252098,1.917088
63.59363,197.1642,1.236766,1.911872
62.54692,197.0363,1.232087,1.910781
64.64692,197.107,1.191249,1.912398
65.5437,197.3499,1.172957,1.907363
66.89033,197.7743,1.204675,1.899588
66.58361,198.4357,1.203987,1.888144
65.83684,198.364,1.209273,1.885159
63.51828,197.8987,1.214254,1.884856
59.925,198.1908,1.185531,1.883008
58.8,198.5157,1.17612,1.877145
60.52499,198.4056,1.172826,1.864464
61.2,198.4026,1.184779,1.862396
59.69705,198.2513,1.174765,1.864241
59.39705,197.928,1.169736,1.868175
59.54706,198.0742,1.171891,1.860434
64.87499,198.3068,1.193559,1.868579
64.7967,198.5147,1.203051,1.863655
64.86551,198.3714,1.182167,1.879733
61.70918,197.9811,1.176872,1.873608
58.93747,197.8689,1.201051,1.876792
59.31866,197.864,1.218272,1.876704
59.91881,197.864,1.210328,1.88617
64.7118,197.864,1.180584,1.891802
67.18681,197.864,1.191608,1.886736
65.39299,197.864,1.201842,1.870014
63.22209,197.8696,1.185168,1.865996
61.42209,197.9774,1.196423,1.860903
62.69709,198.2569,1.172945,1.870967
63.29368,198.3646,1.188132,1.876316
64.19369,198.3758,1.186142,1.877034
65.16238,198.4869,1.175253,1.873455
67.59156,198.7919,1.167552,1.863025
68.6384,198.8846,1.173358,1.854426
69.99471,199.0637,1.163944,1.851201
68.99685,199.3199,1.167372,1.851803
68.25,199.3803,1.188053,1.86399
69.14999,199.3825,1.183103,1.868995
67.64999,199.3825,1.182767,1.867188
68.99999,199.3825,1.199463,1.858278
69.29305,199.3825,1.117681,1.852639
67.48705,199.3825,1.190766,1.846506
65.13706,199.3825,1.10319,1.851851
66.244,199.3825,1.100061,1.8529
69.35908,199.3825,1.124132,1.862077
68.18408,199.3825,1.211243,1.863508
64.22997,199.4018,1.177482,1.857733
62.91876,199.5851,1.218483,1.866229
66.89376,199.8367,1.174336,1.851444
70.19787,199.8865,1.207337,1.85406
72.0716,199.8242,1.138985,1.83954
69.2216,199.4249,1.149632,1.86114
65.41531,198.8866,1.183357,1.859347
64.06532,198.4304,1.183739,1.866059
66.15845,198.2898,1.108536,1.856768
67.33974,198.0069,1.178983,1.87031
66.66498,197.5198,1.234344,1.870027
64.67184,196.8722,1.23874,1.876784
65.27185,195.8625,1.318116,1.883499
65.71832,195.2851,1.319207,1.894556
66.31832,194.3042,1.263514,1.897674
65.71163,193.7739,1.252163,1.892427
67.9683,194.4702,1.292442,1.894692
66.8933,195.2733,1.309548,1.900515
67.5,195.427,1.29575,1.908255
65.64819,195.358,1.269369,1.903703
67.97318,195.2819,1.262868,1.894971
68.86971,195.208,1.245721,1.911349
71.46456,195.1544,1.238143,1.898149
73.36221,195.2026,1.233438,1.88529
74.83355,195.1793,1.259975,1.849907
75.13702,195.1576,1.285573,1.836435
75.56435,195.0211,1.299965,1.836419
75.41678,194.8123,1.291498,1.835395
74.89529,194.7965,1.263005,1.840819
74.51672,194.8447,1.253751,1.840727
73.45405,194.7505,1.29458,1.842609
72.02234,194.6343,1.32291,1.841381
68.41964,194.56,1.333463,1.84285
63.58139,194.3502,1.343866,1.844765
62.18811,194.2248,1.37052,1.845716
62.44438,194.0912,1.417771,1.850671
65.6,193.8802,1.446269,1.860361
65.7,193.535,1.448966,1.862635
66.24317,192.8401,1.490687,1.859928
69.94318,192.6952,1.482515,1.850489
70.53876,191.3358,1.446071,1.845593
70.14558,192.2683,1.376102,1.837252
67.44334,193.7673,1.423348,1.843828
64.99775,193.8784,1.442513,1.846352
66.79549,193.7831,1.423577,1.855503
65.64774,193.8056,1.406194,1.851283
67.14774,194.3588,1.412316,1.852971
64.56604,194.697,1.371016,1.852386
66.26604,194.4601,1.362333,1.857422
68.14104,194.1514,1.385346,1.85979
69.47279,193.5867,1.39059,1.866095
68.51968,191.9786,1.384343,1.865152
67.29266,190.9157,1.369591,1.875269
67.31988,191.5584,1.34456,1.874458
64.82298,192.7518,1.314625,1.885903
61.7,192.7041,1.334859,1.881697
62.12254,192.9231,1.315546,1.876016
65.0691,193.1635,1.269919,1.872107
68.34203,193.1302,1.301844,1.877621
70.61581,193.1097,1.284592,1.887434
69.71925,192.9431,1.275487,1.88537
68.96481,192.183,1.25553,1.886723
66.79349,191.6979,1.339168,1.889543
66.14349,193.0491,1.298833,1.885311
65.575,193.5857,1.307511,1.886658
64.77499,193.8244,1.234407,1.886501
63.77187,194.3939,1.266063,1.896878
64.78837,194.5355,1.24348,1.882653
65.80988,194.4545,1.320353,1.86715
69.45387,193.9617,1.303478,1.868232
72.48392,193.1812,1.262842,1.891506
73.08425,192.5245,1.301446,1.916293
71.7434,191.7938,1.359871,1.905388
69.72184,191.0854,1.37124,1.907863
69.95,190.619,1.335695,1.90628
70.35,190.2138,1.393482,1.917907
67.94675,190.1501,1.316209,1.911141
65.69468,190.501,1.327607,1.905444
65.01646,191.0757,1.33066,1.901242
66.86738,191.6272,1.313496,1.91132
66.85992,191.9093,1.304868,1.922388
63.38625,191.9374,1.312041,1.923601
65.28411,191.9374,1.285471,1.908111
65.44064,191.9333,1.296655,1.898851
69.84026,191.8539,1.325035,1.904612
68.14472,191.599,1.351772,1.90938
70.39772,191.2034,1.337746,1.920488
70.35,190.8824,1.331386,1.923315
69.725,190.8353,1.316264,1.936529
69.57276,190.9179,1.353168,1.926291
70.27276,191.243,1.357407,1.916485
71.39776,191.8562,1.353058,1.899276
72.13992,192.5793,1.323907,1.898706
73.26492,192.8228,1.301191,1.888205
74.11491,192.859,1.354678,1.883712
